"Internal ProfileID","3fafa527-3ef2-4d05-be39-309dfff51f4f"
"Location","CA"
"Device Name","UPS2  BB2"
"Device ID","1"
"Battery Series","1"
"Battery Type",""
"Battery Number","190"
"Battery Start ID","1"
"Capacity","1000 Ah"
"Time Created","2026-01-09 15:10:24"
"Time Modified","2026-01-09 15:22:04"
"Custom Value 1",""
"Custom Value 2",""
"Custom Value 3",""
"Custom Value 4",""
"Custom Value 5",""
"Table1","mΩ-Volt (Temperature)"
"--------------------"
"ID","Resistance(mΩ)","VDC","Temperature(℃)","Time"
25GAACAbcIAwIAAAAA2xthaRkAAgG3CAMCAAAAANwbYWkZAAIBtwgDAgAAAADcG2FpF9
26GQACAbcIAwIAAAAA3RthaRkAAgG3CAMCAAAAAOgbYWk/AAIBtggDAgAAAADpG2FpB7
27SQACAbYIAwIAAAAA6hthaUEAAgG2CAMCAAAAAOsbYWkwAAIBtggDAgAAAADsG2Fp5C
28JgACAbYIAwIAAAAA7RthaR4AAgG2CAMCAAAAAO8bYWkdAAIBtggDAgAAAADwG2FpA9
29HQACAbYIAwIAAAAA8RthaRwAAgG2CAMCAAAAAPIbYWkcAAIBtggDAgAAAAD3G2FpA6
2ATAACAbYIAwIAAAAA+BthaUwAAgG2CAMCAAAAAPobYWlLAAIBtggDAgAAAAD6G2Fp05
2BSwACAbYIAwIAAAAA+xthaUsAAgG2CAMCAAAAAAYcYWk+AAIBtQgDAgAAAAAHHGFpF6
2CGgACAbUIAwIAAAAACBxhaRoAAgG1CAMCAAAAAAocYWkZAAIBtQgDAgAAAAALHGFp68
2DGQACAbUIAwIAAAAACxxhaRkAAgG1CAMCAAAAAAwcYWkZAAIBtQgDAgAAAAASHGFp5D
2EHAACAbUIAwIAAAAAExxhaRwAAgG1CAMCAAAAABQcYWkcAAIBtQgDAgAAAAAVHGFp40
2FHAACAbUIAwIAAAAAGxxhaTwAAgG1CAMCAAAAABwcYWk8AAIBtAgDAgAAAAAgHGFpE5
30SQACAbYIAwIAAAAAIRxhaUoAAgG2CAMCAAAAACEcYWlKAAIBtggDAgAAAAAjHGFp89
31SgACAbYIAwIAAAAAJBxhaUsAAgG2CAMCAAAAACUcYWlLAAIBtggDAgAAAAAmHGFp7B
32SwACAbYIAwIAAAAAMRxhaVYAAgG2CAMCAAAAADMcYWlWAAIBtggDAgAAAAA0HGFp3A
33VQACAbYIAwIAAAAANRxhaVUAAgG2CAMCAAAAADscYWlAAAIBuAgDAgAAAAA8HGFp30
34PwACAbgIAwIAAAAAPhxhaT8AAgG4CAMCAAAAAD8cYWk/AAIBuAgDAgAAAABAHGFp47
35PwACAbgIAwIAAAAAURxhaUkAAgG1CAMCAAAAAFIcYWlJAAIBtQgDAgAAAABTHGFpFF
36SQACAbUIAwIAAAAAWxxhaRsAAgGzCAMCAAAAAFwcYWkbAAIBswgDAgAAAABdHGFp39
37HAACAbMIAwIAAAAAXhxhaRwAAgGzCAMCAAAAAF8cYWkcAAIBswgDAgAAAABgHGFp5C
38HAACAbMIAwIAAAAAYRxhaRwAAgGzCAMCAAAAAG4cYWlOAAIBtggDAgAAAABvHGFp05
39SAACAbYIAwIAAAAAcBxhaUcAAgG2CAMCAAAAAHEcYWlHAAIBtggDAgAAAAB2HGFp95
3AOwACAbQIAwIAAAAAdxxhaUMAAgG0CAMCAAAAAHkcYWlLAAIBtAgDAgAAAAB6HGFp94
3BQwACAbQIAwIAAAAA+hxhaU0AAgG1CAMCAAAAAIscYWlDAAIBsQgDAgAAAACMHGFpE4
3CRAACAbEIAwIAAAAAjRxhaUUAAgGwCAMCAAAAAI4cYWlGAAIBsAgDAgAAAACPHGFp57
3DRQACAbAIAwIAAAAAkBxhaUUAAgGwCAMCAAAAAJEcYWk8AAIBsAgDAgAAAACSHGFp57
3EPAACAbEIAwIAAAAAkxxhaTwAAgGwCAMCAAAAAJQcYWkxAAIBsAgDAgAAAACVHGFp69
3FMQACAbAIAwIAAAAAlhxhaTAAAgGwCAMCAAAAAJccYWkwAAIBsQgDAgAAAACZHGFp76
40KgACAbEIAwIAAAAAmRxhaSoAAgGwCAMCAAAAAJocYWkyAAIBsAgDAgAAAACnHGFp6C
41HwACAbAIAwIAAAAAthxhaVgAAgGzCAMCAAAAALgcYWlXAAIBswgDAgAAAAC5HGFpD1
42WAACAbMIAwIAAAAAxRxhaUcAAgG0CAMCAAAAAA==EC
